2024-08-16 18:05:44 INFO Статус код ответа от Аршин: 200
2024-08-16 18:07:24 INFO Статус код ответа от Аршин: 200
2024-08-16 18:12:21 ERROR Произошла ошибка: ('Connection broken: IncompleteRead(1083358893 bytes read, 6408193097 more expected)', IncompleteRead(1083358893 bytes read, 6408193097 more expected)). Повторение скачивания через 10 секунд...
2024-08-16 18:17:24 ERROR Произошла ошибка: ('Connection broken: IncompleteRead(1080065700 bytes read, 5328128082 more expected)', IncompleteRead(1080065700 bytes read, 5328128082 more expected)). Повторение скачивания через 10 секунд...
2024-08-16 18:22:30 ERROR Произошла ошибка: ('Connection broken: IncompleteRead(1080032932 bytes read, 4248095826 more expected)', IncompleteRead(1080032932 bytes read, 4248095826 more expected)). Повторение скачивания через 10 секунд...
2024-08-16 18:27:35 ERROR Произошла ошибка: ('Connection broken: IncompleteRead(1080491684 bytes read, 3167604818 more expected)', IncompleteRead(1080491684 bytes read, 3167604818 more expected)). Повторение скачивания через 10 секунд...
2024-08-16 18:32:47 ERROR Произошла ошибка: ('Connection broken: IncompleteRead(1080409764 bytes read, 2087195730 more expected)', IncompleteRead(1080409764 bytes read, 2087195730 more expected)). Повторение скачивания через 10 секунд...
2024-08-16 18:37:43 ERROR Произошла ошибка: ('Connection broken: IncompleteRead(1080360612 bytes read, 1006835794 more expected)', IncompleteRead(1080360612 bytes read, 1006835794 more expected)). Повторение скачивания через 10 секунд...
2024-08-16 18:42:36 INFO Файл poverki.snapshot.20240801.csv.zip был скачан успешно
2024-08-16 18:43:24 INFO Файл poverki.delta.20240701--20240702.csv добавлен в БД
2024-08-16 18:43:45 INFO Файл poverki.delta.20240702--20240703.csv добавлен в БД
2024-08-16 18:44:04 INFO Файл poverki.delta.20240703--20240704.csv добавлен в БД
2024-08-16 18:44:33 INFO Файл poverki.delta.20240704--20240705.csv добавлен в БД
2024-08-16 18:44:51 INFO Файл poverki.delta.20240705--20240706.csv добавлен в БД
2024-08-16 18:44:53 INFO Файл poverki.delta.20240706--20240707.csv добавлен в БД
2024-08-16 18:44:55 INFO Файл poverki.delta.20240707--20240708.csv добавлен в БД
2024-08-16 18:45:19 INFO Файл poverki.delta.20240708--20240709.csv добавлен в БД
2024-08-16 18:45:38 INFO Файл poverki.delta.20240709--20240710.csv добавлен в БД
2024-08-16 18:45:58 INFO Файл poverki.delta.20240710--20240711.csv добавлен в БД
2024-08-16 18:46:14 INFO Файл poverki.delta.20240711--20240712.csv добавлен в БД
2024-08-16 18:46:34 INFO Файл poverki.delta.20240712--20240713.csv добавлен в БД
2024-08-16 18:46:38 INFO Файл poverki.delta.20240713--20240714.csv добавлен в БД
2024-08-16 18:46:40 INFO Файл poverki.delta.20240714--20240715.csv добавлен в БД
2024-08-16 18:47:04 INFO Файл poverki.delta.20240715--20240716.csv добавлен в БД
2024-08-16 18:47:24 INFO Файл poverki.delta.20240716--20240717.csv добавлен в БД
2024-08-16 18:47:44 INFO Файл poverki.delta.20240717--20240718.csv добавлен в БД
2024-08-16 18:48:10 INFO Файл poverki.delta.20240718--20240719.csv добавлен в БД
2024-08-16 18:48:27 INFO Файл poverki.delta.20240719--20240720.csv добавлен в БД
2024-08-16 18:48:29 INFO Файл poverki.delta.20240720--20240721.csv добавлен в БД
2024-08-16 18:48:30 INFO Файл poverki.delta.20240721--20240722.csv добавлен в БД
2024-08-16 18:49:05 INFO Файл poverki.delta.20240722--20240723.csv добавлен в БД
2024-08-16 18:49:27 INFO Файл poverki.delta.20240723--20240724.csv добавлен в БД
2024-08-16 18:49:45 INFO Файл poverki.delta.20240724--20240725.csv добавлен в БД
2024-08-16 18:50:04 INFO Файл poverki.delta.20240725--20240726.csv добавлен в БД
2024-08-16 18:50:20 INFO Файл poverki.delta.20240726--20240727.csv добавлен в БД
2024-08-16 18:50:25 INFO Файл poverki.delta.20240727--20240728.csv добавлен в БД
2024-08-16 18:50:27 INFO Файл poverki.delta.20240728--20240729.csv добавлен в БД
2024-08-16 18:50:55 INFO Файл poverki.delta.20240729--20240730.csv добавлен в БД
2024-08-16 18:51:16 INFO Файл poverki.delta.20240730--20240731.csv добавлен в БД
2024-08-16 18:51:46 INFO Файл poverki.delta.20240731--20240801.csv добавлен в БД
2024-08-16 18:52:06 INFO Файл poverki.delta.20240601--20240602.csv добавлен в БД
2024-08-16 18:52:08 INFO Файл poverki.delta.20240602--20240603.csv добавлен в БД
2024-08-16 18:52:34 INFO Файл poverki.delta.20240603--20240604.csv добавлен в БД
2024-08-16 18:52:59 INFO Файл poverki.delta.20240604--20240605.csv добавлен в БД
2024-08-16 18:53:23 INFO Файл poverki.delta.20240605--20240606.csv добавлен в БД
2024-08-16 18:53:49 INFO Файл poverki.delta.20240606--20240607.csv добавлен в БД
2024-08-16 18:54:12 INFO Файл poverki.delta.20240607--20240608.csv добавлен в БД
2024-08-16 18:54:13 INFO Файл poverki.delta.20240608--20240609.csv добавлен в БД
2024-08-16 18:54:16 INFO Файл poverki.delta.20240609--20240610.csv добавлен в БД
2024-08-16 18:54:41 INFO Файл poverki.delta.20240610--20240611.csv добавлен в БД
2024-08-16 18:55:00 INFO Файл poverki.delta.20240611--20240612.csv добавлен в БД
2024-08-16 18:55:02 INFO Файл poverki.delta.20240612--20240613.csv добавлен в БД
2024-08-16 18:55:33 INFO Файл poverki.delta.20240613--20240614.csv добавлен в БД
2024-08-16 18:55:33 INFO Файл poverki.delta.20240614--20240615.csv добавлен в БД
2024-08-16 18:55:34 INFO Файл poverki.delta.20240615--20240616.csv добавлен в БД
2024-08-16 18:55:46 INFO Файл poverki.delta.20240616--20240617.csv добавлен в БД
2024-08-16 18:56:31 INFO Файл poverki.delta.20240617--20240618.csv добавлен в БД
2024-08-16 18:56:53 INFO Файл poverki.delta.20240618--20240619.csv добавлен в БД
2024-08-16 18:57:12 INFO Файл poverki.delta.20240619--20240620.csv добавлен в БД
2024-08-16 18:57:33 INFO Файл poverki.delta.20240620--20240621.csv добавлен в БД
2024-08-16 18:57:52 INFO Файл poverki.delta.20240621--20240622.csv добавлен в БД
2024-08-16 18:57:54 INFO Файл poverki.delta.20240622--20240623.csv добавлен в БД
2024-08-16 18:57:56 INFO Файл poverki.delta.20240623--20240624.csv добавлен в БД
2024-08-16 18:58:24 INFO Файл poverki.delta.20240624--20240625.csv добавлен в БД
2024-08-16 18:58:55 INFO Файл poverki.delta.20240625--20240626.csv добавлен в БД
2024-08-16 18:59:27 INFO Файл poverki.delta.20240626--20240627.csv добавлен в БД
2024-08-16 18:59:47 INFO Файл poverki.delta.20240627--20240628.csv добавлен в БД
2024-08-16 19:00:12 INFO Файл poverki.delta.20240628--20240629.csv добавлен в БД
2024-08-16 19:00:14 INFO Файл poverki.delta.20240629--20240630.csv добавлен в БД
2024-08-16 19:00:17 INFO Файл poverki.delta.20240630--20240701.csv добавлен в БД
2024-08-16 19:00:36 INFO Файл poverki.delta.20240501--20240502.csv добавлен в БД
2024-08-16 19:01:13 INFO Файл poverki.delta.20240502--20240503.csv добавлен в БД
2024-08-16 19:01:42 INFO Файл poverki.delta.20240503--20240504.csv добавлен в БД
2024-08-16 19:01:46 INFO Файл poverki.delta.20240504--20240505.csv добавлен в БД
2024-08-16 19:01:48 INFO Файл poverki.delta.20240505--20240506.csv добавлен в БД
2024-08-16 19:02:16 INFO Файл poverki.delta.20240506--20240507.csv добавлен в БД
2024-08-16 19:02:38 INFO Файл poverki.delta.20240507--20240508.csv добавлен в БД
2024-08-16 19:03:01 INFO Файл poverki.delta.20240508--20240509.csv добавлен в БД
2024-08-16 19:03:02 INFO Файл poverki.delta.20240509--20240510.csv добавлен в БД
2024-08-16 19:03:06 INFO Файл poverki.delta.20240510--20240511.csv добавлен в БД
2024-08-16 19:03:08 INFO Файл poverki.delta.20240511--20240512.csv добавлен в БД
2024-08-16 19:03:11 INFO Файл poverki.delta.20240512--20240513.csv добавлен в БД
2024-08-16 19:03:34 INFO Файл poverki.delta.20240513--20240514.csv добавлен в БД
2024-08-16 19:03:53 INFO Файл poverki.delta.20240514--20240515.csv добавлен в БД
2024-08-16 19:04:11 INFO Файл poverki.delta.20240515--20240516.csv добавлен в БД
2024-08-16 19:04:51 INFO Файл poverki.delta.20240516--20240517.csv добавлен в БД
2024-08-16 19:05:36 INFO Файл poverki.delta.20240517--20240518.csv добавлен в БД
2024-08-16 19:05:39 INFO Файл poverki.delta.20240518--20240519.csv добавлен в БД
2024-08-16 19:05:40 INFO Файл poverki.delta.20240519--20240520.csv добавлен в БД
2024-08-16 19:05:41 INFO Файл poverki.delta.20240520--20240521.csv добавлен в БД
2024-08-16 19:06:07 INFO Файл poverki.delta.20240521--20240522.csv добавлен в БД
2024-08-16 19:06:43 INFO Файл poverki.delta.20240522--20240523.csv добавлен в БД
2024-08-16 19:07:04 INFO Файл poverki.delta.20240523--20240524.csv добавлен в БД
2024-08-16 19:07:26 INFO Файл poverki.delta.20240524--20240525.csv добавлен в БД
2024-08-16 19:07:38 INFO Файл poverki.delta.20240525--20240526.csv добавлен в БД
2024-08-16 19:07:40 INFO Файл poverki.delta.20240526--20240527.csv добавлен в БД
2024-08-16 19:08:10 INFO Файл poverki.delta.20240527--20240528.csv добавлен в БД
2024-08-16 19:08:37 INFO Файл poverki.delta.20240528--20240529.csv добавлен в БД
2024-08-16 19:08:55 INFO Файл poverki.delta.20240529--20240530.csv добавлен в БД
2024-08-16 19:09:15 INFO Файл poverki.delta.20240530--20240531.csv добавлен в БД
2024-08-16 19:09:39 INFO Файл poverki.delta.20240531--20240601.csv добавлен в БД
2024-08-16 19:10:22 INFO Файл poverki.delta.20240401--20240402.csv добавлен в БД
2024-08-16 19:10:46 INFO Файл poverki.delta.20240402--20240403.csv добавлен в БД
2024-08-16 19:11:18 INFO Файл poverki.delta.20240403--20240404.csv добавлен в БД
2024-08-16 19:11:42 INFO Файл poverki.delta.20240404--20240405.csv добавлен в БД
2024-08-16 19:12:09 INFO Файл poverki.delta.20240405--20240406.csv добавлен в БД
2024-08-16 19:12:13 INFO Файл poverki.delta.20240406--20240407.csv добавлен в БД
2024-08-16 19:12:16 INFO Файл poverki.delta.20240407--20240408.csv добавлен в БД
2024-08-16 19:12:49 INFO Файл poverki.delta.20240408--20240409.csv добавлен в БД
2024-08-16 19:13:08 INFO Файл poverki.delta.20240409--20240410.csv добавлен в БД
2024-08-16 19:13:27 INFO Файл poverki.delta.20240410--20240411.csv добавлен в БД
2024-08-16 19:13:44 INFO Файл poverki.delta.20240411--20240412.csv добавлен в БД
2024-08-16 19:14:07 INFO Файл poverki.delta.20240412--20240413.csv добавлен в БД
2024-08-16 19:14:10 INFO Файл poverki.delta.20240413--20240414.csv добавлен в БД
2024-08-16 19:14:13 INFO Файл poverki.delta.20240414--20240415.csv добавлен в БД
2024-08-16 19:14:48 INFO Файл poverki.delta.20240415--20240416.csv добавлен в БД
2024-08-16 19:15:11 INFO Файл poverki.delta.20240416--20240417.csv добавлен в БД
2024-08-16 19:15:27 INFO Файл poverki.delta.20240417--20240418.csv добавлен в БД
2024-08-16 19:15:44 INFO Файл poverki.delta.20240418--20240419.csv добавлен в БД
2024-08-16 19:16:07 INFO Файл poverki.delta.20240419--20240420.csv добавлен в БД
2024-08-16 19:16:09 INFO Файл poverki.delta.20240420--20240421.csv добавлен в БД
2024-08-16 19:16:12 INFO Файл poverki.delta.20240421--20240422.csv добавлен в БД
2024-08-16 19:16:38 INFO Файл poverki.delta.20240422--20240423.csv добавлен в БД
2024-08-16 19:17:11 INFO Файл poverki.delta.20240423--20240424.csv добавлен в БД
2024-08-16 19:17:33 INFO Файл poverki.delta.20240424--20240425.csv добавлен в БД
2024-08-16 19:17:54 INFO Файл poverki.delta.20240425--20240426.csv добавлен в БД
2024-08-16 19:18:08 INFO Файл poverki.delta.20240426--20240427.csv добавлен в БД
2024-08-16 19:18:33 INFO Файл poverki.delta.20240427--20240428.csv добавлен в БД
2024-08-16 19:18:38 INFO Файл poverki.delta.20240428--20240429.csv добавлен в БД
2024-08-16 19:18:41 INFO Файл poverki.delta.20240429--20240430.csv добавлен в БД
2024-08-16 19:18:47 INFO Файл poverki.delta.20240430--20240501.csv добавлен в БД
2024-08-16 19:19:19 INFO Файл poverki.delta.20240301--20240302.csv добавлен в БД
2024-08-16 19:19:23 INFO Файл poverki.delta.20240302--20240303.csv добавлен в БД
2024-08-16 19:19:27 INFO Файл poverki.delta.20240303--20240304.csv добавлен в БД
2024-08-16 19:20:07 INFO Файл poverki.delta.20240304--20240305.csv добавлен в БД
2024-08-16 19:20:31 INFO Файл poverki.delta.20240305--20240306.csv добавлен в БД
2024-08-16 19:20:59 INFO Файл poverki.delta.20240306--20240307.csv добавлен в БД
2024-08-16 19:21:33 INFO Файл poverki.delta.20240307--20240308.csv добавлен в БД
2024-08-16 19:21:35 INFO Файл poverki.delta.20240308--20240309.csv добавлен в БД
2024-08-16 19:21:37 INFO Файл poverki.delta.20240309--20240310.csv добавлен в БД
2024-08-16 19:21:40 INFO Файл poverki.delta.20240310--20240311.csv добавлен в БД
2024-08-16 19:22:07 INFO Файл poverki.delta.20240311--20240312.csv добавлен в БД
2024-08-16 19:22:32 INFO Файл poverki.delta.20240312--20240313.csv добавлен в БД
2024-08-16 19:23:06 INFO Файл poverki.delta.20240313--20240314.csv добавлен в БД
2024-08-16 19:23:29 INFO Файл poverki.delta.20240314--20240315.csv добавлен в БД
2024-08-16 19:23:54 INFO Файл poverki.delta.20240315--20240316.csv добавлен в БД
2024-08-16 19:24:05 INFO Файл poverki.delta.20240316--20240317.csv добавлен в БД
2024-08-16 19:24:09 INFO Файл poverki.delta.20240317--20240318.csv добавлен в БД
2024-08-16 19:24:36 INFO Файл poverki.delta.20240318--20240319.csv добавлен в БД
2024-08-16 19:24:56 INFO Файл poverki.delta.20240319--20240320.csv добавлен в БД
2024-08-16 19:25:17 INFO Файл poverki.delta.20240320--20240321.csv добавлен в БД
2024-08-16 19:25:35 INFO Файл poverki.delta.20240321--20240322.csv добавлен в БД
2024-08-16 19:25:53 INFO Файл poverki.delta.20240322--20240323.csv добавлен в БД
2024-08-16 19:26:08 INFO Файл poverki.delta.20240323--20240324.csv добавлен в БД
2024-08-16 19:26:12 INFO Файл poverki.delta.20240324--20240325.csv добавлен в БД
2024-08-16 19:26:52 INFO Файл poverki.delta.20240325--20240326.csv добавлен в БД
2024-08-16 19:27:21 INFO Файл poverki.delta.20240326--20240327.csv добавлен в БД
